,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Newport,40,GB,1580270326,80,51.59,-3.0,39.9,16.11
1,Dikson,100,RU,1580270486,95,73.51,80.55,-18.06,14.38
2,Beira,0,MZ,1580270403,78,-19.84,34.84,81.07,14.5
3,Port Alfred,60,ZA,1580270610,85,-33.59,26.89,66.99,5.01
4,Pillaro,20,EC,1580270621,87,-1.17,-78.53,45.21,5.82
5,Thompson,90,CA,1580270622,85,55.74,-97.86,10.4,8.05
6,Barrow,1,US,1580270524,74,71.29,-156.79,-27.4,3.36
7,Tiksi,99,RU,1580270624,87,71.69,128.87,-15.88,6.51
8,Kushiro,75,JP,1580270625,80,42.98,144.37,30.2,9.17
9,Pangnirtung,7,CA,1580270495,88,66.15,-65.71,-28.75,4.25
10,Ushuaia,75,AR,1580270628,81,-54.8,-68.3,42.8,28.86
11,Kapaa,1,US,1580270629,61,22.08,-159.32,75.43,3.36
12,Longyearbyen,40,SJ,1580270484,77,78.22,15.64,6.8,16.11
13,Airai,55,TL,1580270631,49,-8.93,125.41,86.11,3.89
14,Hermanus,89,ZA,1580270483,97,-34.42,19.23,64.0,3.0
15,Atuona,32,PF,1580270633,79,-9.8,-139.03,80.91,13.62
16,Mahebourg,75,MU,1580270635,94,-20.41,57.7,73.13,1.9
17,Castro,33,BR,1580270636,99,-24.79,-50.01,63.79,5.88
18,Mar del Plata,100,AR,1580270468,60,-38.0,-57.56,68.56,6.93
19,Kaka,0,TM,1580270638,75,37.35,59.61,34.56,8.88
20,Bluff,100,NZ,1580270639,89,-46.6,168.33,55.0,11.99
21,Zavolzhye,90,RU,1580270640,92,56.64,43.39,21.42,6.71
22,Lorengau,76,PG,1580270642,79,-2.02,147.27,84.0,14.38
23,Kodiak,90,US,1580270491,73,57.79,-152.41,24.8,23.04
24,Hilo,20,US,1580270347,57,19.73,-155.09,71.65,5.82
25,Busselton,32,AU,1580270645,28,-33.65,115.33,82.09,7.54
26,Puerto Ayora,39,EC,1580270498,9,-0.74,-90.35,73.99,3.0
27,Albany,90,US,1580270647,79,42.6,-73.97,28.29,10.29
28,Vaini,75,TO,1580270648,94,-21.2,-175.2,78.8,5.82
29,Fortuna,90,US,1580270650,93,40.6,-124.16,48.87,3.36
30,Acarau,99,BR,1580270651,89,-2.89,-40.12,76.08,2.46
31,Nome,1,US,1580270652,62,64.5,-165.41,-17.9,5.28
32,Tezu,0,IN,1580270653,39,27.92,96.17,61.2,2.93
33,Fairbanks,20,US,1580270632,73,64.84,-147.72,-25.89,4.7
34,Meulaboh,88,ID,1580270656,80,4.14,96.13,79.54,5.12
35,Koslan,0,RU,1580270657,96,63.46,48.9,-10.37,4.32
36,Ponta do Sol,20,PT,1580270658,72,32.67,-17.1,56.12,6.93
37,Lalmohan,74,BD,1580270659,56,22.34,90.74,71.31,3.09
38,Voznesenye,96,RU,1580270660,87,61.01,35.48,19.47,9.01
39,Esperance,75,AU,1580270662,69,-33.87,121.9,75.2,8.05
40,Staunton,75,US,1580270534,80,38.15,-79.07,32.36,4.7
41,Lazo,100,RU,1580270664,80,43.38,133.9,24.22,5.79
42,East London,0,ZA,1580270404,55,-33.02,27.91,64.4,6.93
43,Colares,75,PT,1580270666,100,38.8,-9.45,58.1,10.29
44,Chui,0,UY,1580270668,85,-33.7,-53.46,68.63,13.29
45,Jining,0,CN,1580270669,46,35.41,116.58,42.93,7.61
46,Tateyama,20,JP,1580270504,63,34.98,139.87,63.14,13.87
47,Port Lincoln,0,AU,1580270671,25,-34.73,135.87,89.6,13.87
48,Cape Town,75,ZA,1580270449,100,-33.93,18.42,65.59,8.05
49,Constitucion,10,CL,1580270674,81,-35.33,-72.42,53.24,7.31
50,Hobart,40,AU,1580270425,34,-42.88,147.33,79.57,11.41
51,Bilibino,100,RU,1580270676,99,68.05,166.44,-7.35,4.72
52,Bethel,90,US,1580270454,74,41.37,-73.41,33.64,8.05
53,Uddevalla,100,SE,1580270678,100,58.35,11.94,39.15,8.05
54,Rikitea,100,PF,1580270679,78,-23.12,-134.97,79.79,6.22
55,Klaksvik,0,FO,1580270503,65,62.23,-6.59,32.0,3.36
56,Rorvik,100,NO,1580270682,72,64.86,11.24,34.0,3.0
57,Punta Arenas,40,CL,1580270639,81,-53.15,-70.92,44.29,23.04
58,Alta Floresta,100,BR,1580270392,96,-9.88,-56.09,69.8,1.92
59,Elban,100,RU,1580270685,92,50.1,136.51,16.34,7.16
60,Carnarvon,40,AU,1580270686,74,-24.87,113.63,80.6,19.46
61,Laas,90,IT,1580270687,85,46.62,10.7,26.04,5.82
62,Cayenne,75,GF,1580270689,83,4.93,-52.33,80.6,6.93
63,Nikolskoye,75,RU,1580270690,92,59.7,30.79,30.07,11.18
64,Dukat,100,RU,1580270691,96,62.55,155.55,-15.34,5.1
65,Peno,100,RU,1580270692,95,56.93,32.74,30.11,7.56
66,Arraial do Cabo,32,BR,1580270693,90,-22.97,-42.03,77.77,5.01
67,Vostok,4,RU,1580270694,84,46.49,135.88,21.27,3.8
68,Lima,75,PE,1580270424,88,-12.04,-77.03,75.2,9.17
69,Campoverde,75,PE,1580270697,74,-8.48,-74.81,86.0,5.82
70,George Town,20,MY,1580270509,59,5.41,100.34,88.43,10.29
71,Thabazimbi,0,ZA,1580270699,98,-24.59,27.41,57.0,2.66
72,Bredasdorp,100,ZA,1580270507,88,-34.53,20.04,65.25,4.81
73,Sao Jose da Coroa Grande,44,BR,1580270701,72,-8.9,-35.15,80.98,11.61
74,Tuatapere,100,NZ,1580270703,89,-46.13,167.68,55.0,11.99
75,Butaritari,100,KI,1580270704,78,3.07,172.79,83.08,10.54
76,Tasiilaq,100,GL,1580270705,80,65.61,-37.64,30.2,23.04
77,San Cristobal,40,VE,1580270706,83,7.77,-72.22,77.0,2.24
78,Labuhan,92,ID,1580270707,66,-6.88,112.21,87.22,2.73
79,Cabo San Lucas,5,MX,1580270709,77,22.89,-109.91,63.32,4.7
80,Narsaq,38,GL,1580270710,78,60.92,-46.05,10.4,4.7
81,Avarua,84,CK,1580270671,88,-21.21,-159.78,78.8,9.17
82,Alvdal,90,NO,1580270712,92,62.11,10.63,30.2,10.29
83,Mastic Beach,90,US,1580270713,59,40.77,-72.85,35.33,9.17
84,Qaanaaq,100,GL,1580270714,92,77.48,-69.36,-13.77,5.79
85,Port Blair,100,IN,1580270510,64,11.67,92.75,78.01,10.78
86,Si Racha,20,TH,1580270717,55,13.17,100.93,85.32,4.7
87,Jamestown,90,US,1580270718,86,42.1,-79.24,28.24,11.41
88,Taseyevo,100,RU,1580270719,92,57.22,94.9,20.3,5.08
89,Oriximina,92,BR,1580270720,77,-1.77,-55.87,79.56,2.75
90,Wasilla,20,US,1580270442,71,61.58,-149.44,7.18,8.05
91,Yoichi,90,JP,1580270723,86,43.2,140.77,32.67,5.82
92,Koungou,100,YT,1580270724,94,-12.73,45.2,78.8,12.75
93,Kaitangata,100,NZ,1580270489,74,-46.28,169.85,62.01,20.0
94,Hualmay,100,PE,1580270726,80,-11.1,-77.61,71.01,3.65
95,Hithadhoo,76,MV,1580270727,78,-0.6,73.08,81.12,15.68
96,Opuwo,78,,1580270729,69,-18.06,13.84,69.93,2.57
97,Aksha,28,RU,1580270730,90,50.28,113.29,5.04,2.39
98,Cherskiy,100,RU,1580270731,96,68.75,161.3,-22.68,5.7
99,Natchitoches,90,US,1580270732,100,31.77,-93.13,50.74,5.82
100,Yellowknife,90,CA,1580270486,83,62.46,-114.35,-4.47,4.7
101,Chokurdakh,100,RU,1580270638,97,70.63,147.92,-19.61,10.6
102,San Andres,20,CO,1580270736,74,12.58,-81.7,78.8,3.36
103,Sri Aman,75,MY,1580270737,83,1.24,111.46,84.13,3.36
104,Myhove,40,UA,1580270738,92,48.16,25.38,37.4,6.71
105,Christchurch,0,NZ,1580270731,32,-43.53,172.63,81.93,16.11
106,New Norfolk,40,AU,1580270497,34,-42.78,147.06,79.47,11.41
107,Takoradze,59,GH,1580270741,90,4.88,-1.76,76.03,1.66
108,Nanortalik,69,GL,1580270743,66,60.14,-45.24,24.4,14.88
109,Shelburne,75,CA,1580270744,74,44.08,-80.2,25.7,10.29
110,Sitka,90,US,1580270512,80,57.05,-135.33,38.37,17.22
111,Bambous Virieux,75,MU,1580270513,94,-20.34,57.76,73.29,1.97
112,Cockburn Town,0,TC,1580270460,70,21.46,-71.14,77.67,8.41
113,Tukums,90,LV,1580270748,93,56.97,23.16,37.4,8.05
114,Sioux Lookout,20,CA,1580270750,84,50.1,-91.92,3.45,3.36
115,Saskylakh,100,RU,1580270751,98,71.92,114.08,-10.16,7.76
116,Port Macquarie,90,AU,1580270752,58,-31.43,152.92,88.23,14.99
117,Tabou,61,CI,1580270753,91,4.42,-7.35,76.32,1.25
118,Tuktoyaktuk,90,CA,1580270506,75,69.45,-133.04,-18.4,5.82
119,Saint-Philippe,10,RE,1580270755,57,-21.36,55.77,75.36,8.05
120,Broome,90,US,1580270756,100,42.25,-75.83,27.55,7.0
121,Sisimiut,100,GL,1580270758,98,66.94,-53.67,-6.16,3.4
122,Upernavik,74,GL,1580270678,94,72.79,-56.15,-14.35,7.23
123,Anadyr,75,RU,1580270669,91,64.75,177.48,1.22,6.71
124,High River,20,CA,1580270761,54,50.58,-113.87,25.5,4.7
125,Mahajanga,40,MG,1580270762,94,-15.72,46.32,77.0,8.1
126,Grand-Santi,61,GF,1580270764,95,4.25,-54.38,73.6,3.78
127,Aksu,0,CN,1580270765,64,41.12,80.26,23.76,2.55
128,Clyde River,1,CA,1580270689,74,70.47,-68.59,-23.8,4.7
129,Brandon,1,US,1580270767,71,27.94,-82.29,54.75,11.01
130,Lebu,0,CL,1580270768,66,-37.62,-73.65,53.08,10.63
131,Sao Felix do Xingu,83,BR,1580270769,97,-6.64,-51.99,71.04,1.52
132,Bathsheba,75,BB,1580270771,78,13.22,-59.52,78.8,17.22
133,La Providencia,5,MX,1580270772,36,28.72,-111.58,60.28,6.93
134,Urumqi,75,CN,1580270773,85,43.8,87.6,12.2,2.24
135,Faanui,81,PF,1580270644,70,-16.48,-151.75,83.43,5.01
136,Joshimath,100,IN,1580270775,98,30.57,79.57,28.54,5.32
137,Kalabo,91,ZM,1580270776,94,-14.97,22.68,66.49,3.11
138,Maniitsoq,98,GL,1580270649,62,65.42,-52.9,7.65,6.15
139,Yulara,40,AU,1580270779,22,-25.24,130.99,102.2,17.22
140,Mount Gambier,0,AU,1580270780,17,-37.83,140.77,89.6,9.17
141,Kankakee,90,US,1580270781,80,41.15,-87.87,30.0,3.4
142,Saint George's,20,GD,1580270717,83,12.06,-61.75,78.8,5.82
143,Ust-Nera,81,RU,1580270783,99,64.57,143.2,-40.23,3.27
144,Pevek,100,RU,1580270785,98,69.7,170.31,-11.33,12.73
145,Taoudenni,0,ML,1580270786,29,22.68,-3.98,63.16,10.87
146,Bambanglipuro,100,ID,1580270787,65,-7.95,110.28,87.37,1.03
147,Zamania,0,IN,1580270788,76,25.43,83.57,61.0,7.85
148,Isangel,90,VU,1580270501,66,-19.55,169.27,86.0,4.7
149,Traverse City,90,US,1580270656,79,44.76,-85.62,26.71,8.14
150,Iqaluit,5,CA,1580270723,67,63.75,-68.51,-27.18,14.99
151,Bengkulu,100,ID,1580270612,94,-3.8,102.27,72.45,13.62
152,Kloulklubed,75,PW,1580270794,70,7.04,134.26,86.0,6.93
153,Yatou,77,CN,1580270795,70,37.15,122.38,37.71,16.15
154,Belmonte,75,BR,1580270796,88,-15.86,-38.88,78.8,2.24
155,Camopi,61,GF,1580270797,98,3.17,-52.32,72.36,2.51
156,Noumea,79,NC,1580270528,38,-22.28,166.46,88.68,16.11
157,Mataura,96,NZ,1580270800,89,-46.19,168.86,55.0,11.99
158,Arrondissement de Muret,40,FR,1580270801,86,43.33,1.25,42.82,4.7
159,Mata,100,PT,1580270802,95,40.68,-7.46,50.4,3.78
160,Vao,16,NC,1580270765,72,-22.67,167.48,77.29,12.66
161,Wanning,33,CN,1580270804,68,18.8,110.4,65.08,9.73
162,Kavieng,25,PG,1580270806,75,-2.57,150.8,84.22,6.96
163,Sao Joao da Barra,100,BR,1580270807,92,-21.64,-41.05,75.63,11.72
164,Berlevag,65,NO,1580270550,67,70.86,29.09,24.1,23.0
165,Kuytun,90,RU,1580270809,96,54.34,101.5,6.22,4.56
166,Yilan,75,TW,1580270810,66,24.76,121.75,54.48,2.24
167,Yangi Marg`ilon,0,UZ,1580270811,74,40.43,71.72,30.52,4.7
168,Faya,40,SA,1580270813,87,18.39,42.45,52.66,12.75
169,Sokoto,9,NG,1580270814,10,13.06,5.24,64.85,10.16
170,Te Anau,76,NZ,1580270815,74,-45.42,167.72,57.11,9.86
171,Sompeta,0,IN,1580270816,77,18.93,84.6,75.33,5.32
172,Mandalgovi,0,MN,1580270817,80,45.76,106.27,8.37,8.57
173,Zhigansk,100,RU,1580270819,95,66.77,123.37,-16.74,25.79
174,Kaeo,58,NZ,1580270820,71,-35.1,173.78,75.61,5.99
175,Henties Bay,49,,1580270821,89,-22.12,14.28,64.0,1.99
176,Padang,100,ID,1580270679,91,-0.95,100.35,68.32,0.4
177,Abu Dhabi,0,AE,1580270823,87,24.47,54.37,57.2,2.24
178,Necochea,100,AR,1580270720,99,-38.55,-58.74,64.0,1.99
179,Avanuorri,0,NO,1580270701,72,71.0,24.66,14.0,31.09
180,Kabinda,100,CD,1580270827,93,-6.13,24.48,68.77,3.53
181,Ancud,0,CL,1580270828,75,-41.87,-73.82,46.4,5.82
182,Salisbury,33,GB,1580270830,86,51.07,-1.8,37.53,10.29
183,Ribeira Grande,78,PT,1580270754,94,38.52,-28.7,60.12,19.71
184,Kilindoni,100,TZ,1580270660,80,-7.91,39.67,82.47,11.05
185,Hambantota,75,LK,1580270833,94,6.12,81.12,78.8,3.36
186,Kumul,0,CN,1580270834,78,42.8,93.45,10.53,3.04
187,Urusha,0,RU,1580270836,82,54.05,122.9,3.0,2.26
188,Hasaki,20,JP,1580270837,72,35.73,140.83,59.61,10.29
189,Vestmannaeyjar,0,IS,1580270824,66,63.44,-20.27,34.66,7.29
190,Rancho Palos Verdes,5,US,1580270839,17,33.74,-118.39,58.08,23.04
191,Karaton,40,ID,1580270840,62,-6.34,106.1,89.33,8.05
192,Borovoy,75,RU,1580270841,73,55.43,86.08,23.0,15.66
193,Kiunga,85,PG,1580270843,55,-6.12,141.29,94.01,2.06
194,Viedma,9,AR,1580270844,86,-40.81,-63.0,56.52,4.74
195,Mahuva,0,IN,1580270845,63,21.09,71.76,62.53,10.38
196,Deputatsky,100,RU,1580270846,68,69.3,139.9,-21.23,3.94
197,Davila,40,PH,1580270847,65,18.47,120.58,80.6,9.17
198,Provideniya,2,RU,1580270751,58,64.38,-173.3,-5.8,4.61
199,Westport,90,US,1580270823,74,41.14,-73.36,34.83,8.05
200,Ilulissat,100,GL,1580270560,59,69.22,-51.1,1.4,10.29
201,Nieves,75,PH,1580270852,58,15.33,120.95,86.0,9.17
202,Akdepe,0,TM,1580270854,79,42.06,59.38,26.11,2.24
203,Todos Santos,5,MX,1580270855,45,23.45,-110.22,63.72,6.93
204,Minsk,90,BY,1580270856,100,53.9,27.57,33.8,6.71
205,Sydney Mines,90,CA,1580270857,100,46.24,-60.22,30.24,13.87
206,Muisne,100,EC,1580270858,82,0.6,-80.03,77.67,0.58
207,Geraldton,0,AU,1580270860,57,-28.77,114.6,78.8,13.87
208,Guerrero Negro,0,MX,1580270861,65,27.98,-114.06,63.46,19.69
209,Elko,90,US,1580270862,74,41.0,-115.5,33.3,6.93
210,Stawell,0,AU,1580270863,15,-37.05,142.77,88.43,5.91
211,Bulgan,0,MN,1580270864,76,48.81,103.53,9.09,3.06
212,Darhan,0,MN,1580270815,84,49.49,105.92,4.71,8.23
213,Vryburg,50,ZA,1580270867,23,-26.96,24.73,57.34,3.58
214,Taltal,0,CL,1580270868,90,-25.4,-70.48,62.87,2.46
215,Codrington,0,AU,1580270869,63,-38.27,141.97,68.23,4.43
216,Yerbogachen,100,RU,1580270721,93,61.28,108.01,7.95,4.36
217,Bilma,100,NE,1580270748,8,18.69,12.92,64.15,7.85
218,Jalu,0,LY,1580270677,77,29.03,21.55,52.18,6.44
219,Xai-Xai,0,MZ,1580270874,81,-25.05,33.64,66.58,2.62
220,Burgeo,100,CA,1580270875,82,47.62,-57.62,28.62,17.76
221,Khatanga,98,RU,1580270876,97,71.97,102.5,-12.26,0.56
222,Caravelas,100,BR,1580270877,85,-17.71,-39.25,79.66,11.48
223,Ayr,40,GB,1580270768,93,55.46,-4.63,36.97,12.75
224,Mishkino,0,RU,1580270880,93,55.34,63.92,-13.67,7.05
225,Vidalia,1,US,1580270649,75,32.22,-82.41,39.94,1.92
226,Esil,3,KZ,1580270882,96,51.96,66.4,-11.45,5.12
227,Chara,10,RU,1580270757,61,56.91,118.26,-1.41,1.88
228,Japura,100,ID,1580270735,94,-0.32,102.35,75.22,3.91
229,Bielsk Podlaski,100,PL,1580270886,100,52.77,23.19,35.01,8.88
230,Tete,75,MZ,1580270669,88,-16.16,33.59,77.0,4.7
231,Ouahigouya,100,BF,1580270888,7,13.58,-2.42,70.41,10.45
232,Khovd,0,MN,1580270740,60,48.01,91.64,9.19,1.92
233,Sijunjung,100,ID,1580270890,95,-0.69,100.95,70.54,2.53
234,Zhigalovo,4,RU,1580270892,93,54.81,105.16,7.47,2.82
235,Alice Springs,75,AU,1580270893,38,-23.7,133.88,89.6,19.46
236,Wattegama,75,LK,1580270894,94,6.8,81.48,78.8,3.36
237,Puerto del Rosario,36,ES,1580270895,77,28.5,-13.86,61.59,8.05
238,Abaca,82,PH,1580270896,72,9.92,124.51,82.92,5.82
239,La Libertad,21,EC,1580270897,88,-2.23,-80.9,77.0,6.93
240,Kiryat Gat,75,IL,1580270898,93,31.61,34.76,50.43,5.82
241,Banjar,20,ID,1580270900,70,-8.19,114.97,89.6,6.93
242,Sur,0,OM,1580270901,52,22.57,59.53,62.26,8.16
243,Pemangkat,100,ID,1580270826,72,1.17,108.97,85.33,9.06
244,Dongargaon,7,IN,1580270903,58,20.97,80.85,70.81,4.56
245,Kamina,100,CD,1580270905,95,-8.74,24.99,63.86,3.4
246,Ayagoz,21,KZ,1580270906,92,47.97,80.44,-0.8,1.01
247,High Level,5,CA,1580270902,84,58.52,-117.14,6.8,3.58
248,Kruisfontein,89,ZA,1580270754,78,-34.0,24.73,65.41,8.19
249,Okha,0,RU,1580270909,86,53.57,142.95,7.47,9.48
250,Bokoro,0,TD,1580270910,11,12.38,17.06,61.38,9.48
251,Naze,75,JP,1580270912,55,28.37,129.48,63.57,12.75
252,Sakaiminato,75,JP,1580270913,66,35.55,133.23,52.77,12.75
253,Batagay,6,RU,1580270914,73,67.63,134.63,-26.46,4.07
254,Thinadhoo,28,MV,1580270915,76,0.53,72.93,80.71,15.5
255,Vardo,40,NO,1580270699,84,70.37,31.11,3.2,4.7
256,Trairi,67,BR,1580270917,89,-3.28,-39.27,74.16,1.7
257,Norman Wells,20,CA,1580270919,68,65.28,-126.83,-20.2,6.93
258,Derbent,92,RU,1580270920,80,42.07,48.29,44.47,0.96
259,Poso,23,ID,1580270921,75,-1.4,120.75,76.14,2.75
260,Evensk,100,RU,1580270875,94,61.95,159.23,16.11,2.59
261,Talcahuano,0,CL,1580270923,62,-36.72,-73.12,59.0,14.99
262,Poum,0,NC,1580270920,79,-20.23,164.02,79.66,19.77
263,Zaranj,0,AF,1580270926,60,30.97,61.88,39.2,6.93
264,Omsukchan,100,RU,1580270928,98,62.53,155.8,-9.87,6.93
265,Paita,6,PE,1580270929,66,-5.09,-81.11,78.03,6.13
